std_dev_ch1,std_dev_ch2,rms_ch1,rms_ch2,min_ch1,min_ch2,max_ch1,max_ch2,zero_crossings_ch1,zero_crossings_ch2,avg_amp_change_ch1,avg_amp_change_ch2,amp_first_burst_ch1,amp_first_burst_ch2,mean_abs_value_ch1,mean_abs_value_ch2,wave_form_length_ch1,wave_form_length_ch2,willison_amp_ch1,willison_amp_ch2,classification
0.029437,0.089432,0.030692,0.08977,-0.16406,-0.53906,0.09375,0.3125,53,56,0.074323,0.21297,0.03125,0.03125,0.017896,0.04566,4.3672,11.773,2,6,1
0.03506,0.025286,0.036073,0.02737,-0.19531,-0.14844,0.21875,0.10156,47,44,0.084427,0.064375,0.046875,0.039063,0.018753,0.01583,4.5156,3.6406,3,2,1
0.043982,0.071985,0.044961,0.072402,-0.39844,-0.59375,0.14844,0.40625,43,53,0.087448,0.15547,0.046875,0.039063,0.020696,0.031064,5.1953,8.2813,3,4,1
0.032677,0.033345,0.033778,0.03502,-0.23438,-0.19531,0.10938,0.125,50,46,0.074115,0.091667,0.0625,0.054688,0.018844,0.021465,4.1797,5.1484,2,1,1
0.032101,0.035939,0.033035,0.037391,-0.15625,-0.15625,0.11719,0.15625,47,56,0.076979,0.099375,0.046875,0.03125,0.020396,0.023319,4.5078,5.7813,2,6,1
0.034332,0.027977,0.035562,0.029384,-0.28906,-0.13281,0.070313,0.085938,34,44,0.076719,0.074635,0.03125,0.054688,0.018629,0.019967,4.2734,4.0156,2,1,1
0.039009,0.032714,0.039897,0.03412,-0.34375,-0.1875,0.10156,0.10938,52,53,0.090208,0.091615,0.015625,0.03125,0.020067,0.021392,5.0156,4.875,2,3,1
0.031101,0.022226,0.032369,0.024523,-0.22656,-0.10938,0.15625,0.046875,48,46,0.075052,0.063958,0.039063,0.054688,0.017649,0.016214,4.4531,3.6875,2,0,1
0.046904,0.027714,0.047688,0.029502,-0.36719,-0.17969,0.20313,0.078125,55,56,0.096042,0.07776,0.054688,0.039063,0.022936,0.017892,5.8438,4.4219,3,4,1
0.029022,0.024793,0.030311,0.026897,-0.14063,-0.085938,0.1875,0.09375,36,58,0.066927,0.075417,0.03125,0.0625,0.015546,0.018029,3.3203,4.4063,3,1,1
0.028837,0.03138,0.030089,0.032899,-0.16406,-0.13281,0.078125,0.13281,43,53,0.070208,0.085573,0.03125,0.054688,0.018575,0.020897,4.1563,4.8203,1,3,1
0.046465,0.028855,0.04726,0.030552,-0.28906,-0.10156,0.28906,0.09375,39,53,0.0925,0.083854,0.03125,0.046875,0.021058,0.020929,4.7734,4.6953,2,1,1
0.024235,0.030743,0.02569,0.032482,-0.085938,-0.17188,0.085938,0.085938,39,46,0.062917,0.087083,0.03125,0.039063,0.016608,0.020121,3.8828,4.7188,0,4,1
0.036043,0.021603,0.037113,0.02408,-0.15625,-0.10156,0.24219,0.085938,36,42,0.084479,0.056354,0.023438,0.070313,0.019917,0.015617,4.3906,3.4297,2,2,1
